dArea,quality_C,quality
81,Superior,2
80,Superior,2
81,Superior,2
125,Superior,2
146,Superior,2
109,Superior,2
161,Superior,2
136,Superior,2
156,Superior,2
95,Superior,2
163,Superior,2
112,Superior,2
130,Superior,2
134,Superior,2
167,Superior,2
159,Superior,2
195,Superior,2
176,Superior,2
141,Superior,2
146,Superior,2
142,Superior,2
155,Superior,2
200,Superior,2
114,Superior,2
178,Superior,2
92,Superior,2
165,Superior,2
145,Superior,2
63,Superior,2
139,Superior,2
139,Superior,2
119,Superior,2
107,Superior,2
241,Superior,2
143,Superior,2
205,Superior,2
144,Superior,2
136,Superior,2
35,Superior,2
153,Superior,2
135,Superior,2
88,Superior,2
76,Superior,2
155,Superior,2
232,Superior,2
55,Superior,2
110,Superior,2
187,Superior,2
125,Superior,2
179,Superior,2
587,Poor,0
751,Poor,0
456,Poor,0
355,Poor,0
552,Poor,0
453,Poor,0
694,Poor,0
370,Poor,0
376,Poor,0
396,Poor,0
725,Poor,0
523,Poor,0
616,Poor,0
451,Poor,0
569,Poor,0
882,Poor,0
463,Poor,0
316,Poor,0
555,Poor,0
642,Poor,0
511,Poor,0
695,Poor,0
684,Poor,0
645,Poor,0
369,Poor,0
205,Poor,0
446,Poor,0
579,Poor,0
681,Poor,0
398,Poor,0
843,Poor,0
687,Poor,0
498,Poor,0
574,Poor,0
608,Poor,0
638,Poor,0
527,Poor,0
674,Poor,0
700,Poor,0
561,Poor,0
710,Poor,0
602,Poor,0
556,Poor,0
660,Poor,0
720,Poor,0
566,Poor,0
436,Poor,0
481,Poor,0
474,Poor,0
725,Poor,0
240,Normal,1
224,Normal,1
265,Normal,1
232,Normal,1
176,Normal,1
229,Normal,1
237,Normal,1
155,Normal,1
96,Normal,1
279,Normal,1
181,Normal,1
263,Normal,1
205,Normal,1
302,Normal,1
348,Normal,1
185,Normal,1
313,Normal,1
257,Normal,1
168,Normal,1
338,Normal,1
367,Normal,1
223,Normal,1
354,Normal,1
131,Normal,1
258,Normal,1
262,Normal,1
283,Normal,1
407,Normal,1
270,Normal,1
291,Normal,1
258,Normal,1
247,Normal,1
263,Normal,1
318,Normal,1
271,Normal,1
359,Normal,1
334,Normal,1
251,Normal,1
236,Normal,1
254,Normal,1
342,Normal,1
372,Normal,1
308,Normal,1
362,Normal,1
322,Normal,1
396,Normal,1
338,Normal,1
208,Normal,1
264,Normal,1
328,Normal,1
